mode,page_size,repetition,latency_ms,sql_statements,rows_returned,status,error
naive,10,1,17.801,11,10,ok,
naive,10,2,10.466,11,10,ok,
naive,10,3,12.506,11,10,ok,
naive,10,4,10.177,11,10,ok,
naive,10,5,9.583,11,10,ok,
naive,10,6,14.2,11,10,ok,
naive,10,7,33.164,11,10,ok,
naive,10,8,153.795,11,10,ok,
naive,10,9,11.282,11,10,ok,
naive,10,10,11.037,11,10,ok,
naive,10,11,16.088,11,10,ok,
naive,10,12,9.726,11,10,ok,
naive,10,13,9.349,11,10,ok,
naive,10,14,9.154,11,10,ok,
naive,10,15,27.77,11,10,ok,
naive,10,16,9.716,11,10,ok,
naive,10,17,7.929,11,10,ok,
naive,10,18,10.929,11,10,ok,
naive,10,19,8.256,11,10,ok,
naive,10,20,8.143,11,10,ok,
naive,10,21,7.516,11,10,ok,
naive,10,22,8.453,11,10,ok,
naive,10,23,8.087,11,10,ok,
naive,10,24,7.523,11,10,ok,
naive,10,25,8.38,11,10,ok,
naive,10,26,10.86,11,10,ok,
naive,10,27,7.765,11,10,ok,
naive,10,28,6.847,11,10,ok,
naive,10,29,7.604,11,10,ok,
naive,10,30,129.057,11,10,ok,
naive,50,1,85.173,51,50,ok,
naive,50,2,31.845,51,50,ok,
naive,50,3,29.798,51,50,ok,
naive,50,4,25.806,51,50,ok,
naive,50,5,27.564,51,50,ok,
naive,50,6,15.839,51,50,ok,
naive,50,7,19.938,51,50,ok,
naive,50,8,16.684,51,50,ok,
naive,50,9,24.601,51,50,ok,
naive,50,10,191.5,51,50,ok,
naive,50,11,33.262,51,50,ok,
naive,50,12,31.737,51,50,ok,
naive,50,13,21.053,51,50,ok,
naive,50,14,20.82,51,50,ok,
naive,50,15,19.875,51,50,ok,
naive,50,16,22.524,51,50,ok,
naive,50,17,24.488,51,50,ok,
naive,50,18,39.08,51,50,ok,
naive,50,19,170.461,51,50,ok,
naive,50,20,19.214,51,50,ok,
naive,50,21,20.085,51,50,ok,
naive,50,22,22.168,51,50,ok,
naive,50,23,19.129,51,50,ok,
naive,50,24,22.788,51,50,ok,
naive,50,25,19.458,51,50,ok,
naive,50,26,19.201,51,50,ok,
naive,50,27,23.617,51,50,ok,
naive,50,28,23.025,51,50,ok,
naive,50,29,27.576,51,50,ok,
naive,50,30,173.86,51,50,ok,
naive,200,1,92.415,201,200,ok,
naive,200,2,90.298,201,200,ok,
naive,200,3,79.426,201,200,ok,
naive,200,4,200.735,201,200,ok,
naive,200,5,59.183,201,200,ok,
naive,200,6,62.0,201,200,ok,
naive,200,7,52.739,201,200,ok,
naive,200,8,209.354,201,200,ok,
naive,200,9,47.812,201,200,ok,
naive,200,10,48.056,201,200,ok,
naive,200,11,51.109,201,200,ok,
naive,200,12,166.983,201,200,ok,
naive,200,13,115.363,201,200,ok,
naive,200,14,61.442,201,200,ok,
naive,200,15,54.431,201,200,ok,
naive,200,16,200.719,201,200,ok,
naive,200,17,48.901,201,200,ok,
naive,200,18,49.72,201,200,ok,
naive,200,19,48.341,201,200,ok,
naive,200,20,45.707,201,200,ok,
naive,200,21,197.396,201,200,ok,
naive,200,22,62.737,201,200,ok,
naive,200,23,59.243,201,200,ok,
naive,200,24,72.763,201,200,ok,
naive,200,25,76.543,201,200,ok,
naive,200,26,184.346,201,200,ok,
naive,200,27,56.096,201,200,ok,
naive,200,28,47.343,201,200,ok,
naive,200,29,56.569,201,200,ok,
naive,200,30,254.698,201,200,ok,
fixed,10,1,11.025,2,10,ok,
fixed,10,2,9.329,2,10,ok,
fixed,10,3,7.607,2,10,ok,
fixed,10,4,9.013,2,10,ok,
fixed,10,5,7.616,2,10,ok,
fixed,10,6,7.777,2,10,ok,
fixed,10,7,7.619,2,10,ok,
fixed,10,8,4.282,2,10,ok,
fixed,10,9,6.887,2,10,ok,
fixed,10,10,7.784,2,10,ok,
fixed,10,11,6.037,2,10,ok,
fixed,10,12,6.83,2,10,ok,
fixed,10,13,5.153,2,10,ok,
fixed,10,14,5.992,2,10,ok,
fixed,10,15,6.23,2,10,ok,
fixed,10,16,6.983,2,10,ok,
fixed,10,17,82.189,2,10,ok,
fixed,10,18,111.191,2,10,ok,
fixed,10,19,32.487,2,10,ok,
fixed,10,20,7.38,2,10,ok,
fixed,10,21,7.591,2,10,ok,
fixed,10,22,6.367,2,10,ok,
fixed,10,23,5.926,2,10,ok,
fixed,10,24,5.637,2,10,ok,
fixed,10,25,4.936,2,10,ok,
fixed,10,26,5.356,2,10,ok,
fixed,10,27,5.746,2,10,ok,
fixed,10,28,5.686,2,10,ok,
fixed,10,29,5.604,2,10,ok,
fixed,10,30,5.933,2,10,ok,
fixed,50,1,6.809,2,50,ok,
fixed,50,2,6.695,2,50,ok,
fixed,50,3,6.878,2,50,ok,
fixed,50,4,11.121,2,50,ok,
fixed,50,5,7.963,2,50,ok,
fixed,50,6,7.712,2,50,ok,
fixed,50,7,7.775,2,50,ok,
fixed,50,8,7.43,2,50,ok,
fixed,50,9,6.879,2,50,ok,
fixed,50,10,9.158,2,50,ok,
fixed,50,11,8.811,2,50,ok,
fixed,50,12,15.343,2,50,ok,
fixed,50,13,123.055,2,50,ok,
fixed,50,14,61.384,2,50,ok,
fixed,50,15,6.996,2,50,ok,
fixed,50,16,7.113,2,50,ok,
fixed,50,17,7.427,2,50,ok,
fixed,50,18,6.886,2,50,ok,
fixed,50,19,6.701,2,50,ok,
fixed,50,20,7.151,2,50,ok,
fixed,50,21,7.098,2,50,ok,
fixed,50,22,7.167,2,50,ok,
fixed,50,23,8.241,2,50,ok,
fixed,50,24,6.227,2,50,ok,
fixed,50,25,5.554,2,50,ok,
fixed,50,26,5.938,2,50,ok,
fixed,50,27,6.294,2,50,ok,
fixed,50,28,5.681,2,50,ok,
fixed,50,29,6.075,2,50,ok,
fixed,50,30,6.344,2,50,ok,
fixed,200,1,24.724,2,200,ok,
fixed,200,2,14.88,2,200,ok,
fixed,200,3,10.209,2,200,ok,
fixed,200,4,10.327,2,200,ok,
fixed,200,5,10.218,2,200,ok,
fixed,200,6,9.832,2,200,ok,
fixed,200,7,10.555,2,200,ok,
fixed,200,8,86.824,2,200,ok,
fixed,200,9,113.546,2,200,ok,
fixed,200,10,14.242,2,200,ok,
fixed,200,11,11.336,2,200,ok,
fixed,200,12,11.499,2,200,ok,
fixed,200,13,11.88,2,200,ok,
fixed,200,14,11.85,2,200,ok,
fixed,200,15,11.078,2,200,ok,
fixed,200,16,10.497,2,200,ok,
fixed,200,17,11.017,2,200,ok,
fixed,200,18,11.011,2,200,ok,
fixed,200,19,10.717,2,200,ok,
fixed,200,20,11.564,2,200,ok,
fixed,200,21,14.391,2,200,ok,
fixed,200,22,10.155,2,200,ok,
fixed,200,23,11.709,2,200,ok,
fixed,200,24,11.997,2,200,ok,
fixed,200,25,11.608,2,200,ok,
fixed,200,26,52.801,2,200,ok,
fixed,200,27,140.856,2,200,ok,
fixed,200,28,14.576,2,200,ok,
fixed,200,29,15.001,2,200,ok,
fixed,200,30,11.477,2,200,ok,
